iter	MultiClass
0	1.737543144
1	1.692386513
2	1.654373741
3	1.620826663
4	1.593098394
5	1.567226497
6	1.545419512
7	1.524837048
8	1.505423587
9	1.489428832
10	1.473884162
11	1.458170403
12	1.443961195
13	1.431701459
14	1.420131328
15	1.408180063
16	1.39875313
17	1.389788949
18	1.380044589
19	1.370185825
20	1.36270986
21	1.355997006
22	1.349460344
23	1.342989488
24	1.336671585
25	1.329644158
26	1.322964759
27	1.316788109
28	1.310527236
29	1.304378704
30	1.298637127
31	1.292247244
32	1.287576013
33	1.281963524
34	1.276872926
35	1.272547689
36	1.2681792
37	1.263714104
38	1.25718433
39	1.25266788
40	1.24784752
41	1.243650878
42	1.238381873
43	1.234487609
44	1.22992482
45	1.225142125
46	1.219614958
47	1.215070424
48	1.211027109
49	1.206178257
50	1.199860102
51	1.19597272
52	1.191144287
53	1.187543007
54	1.183549452
55	1.179974323
56	1.175443969
57	1.170788175
58	1.166878435
59	1.163053402
60	1.159722013
61	1.155762385
62	1.151993662
63	1.148701714
64	1.144927269
65	1.141903242
66	1.138421216
67	1.135429171
68	1.131613952
69	1.128732579
70	1.125738624
71	1.122153661
72	1.119195256
73	1.116149157
74	1.113137649
75	1.110269533
76	1.1072407
77	1.103771252
78	1.100691069
79	1.097845737
80	1.094767087
81	1.092000781
82	1.08835476
83	1.084565448
84	1.080458431
85	1.077475984
86	1.07427183
87	1.071014929
88	1.067225586
89	1.064491681
90	1.061374407
91	1.057959892
92	1.055190456
93	1.052666309
94	1.049952533
95	1.047356438
96	1.043341306
97	1.040550268
98	1.037204734
99	1.034752728
100	1.032015611
101	1.029261802
102	1.026598379
103	1.023294499
104	1.020280138
105	1.017805451
106	1.015206383
107	1.012531476
108	1.010282764
109	1.007617417
110	1.005078168
111	1.002473673
112	1.000157366
113	0.9974983886
114	0.9952998689
115	0.9928968672
116	0.990217958
117	0.9876715959
118	0.9850296484
119	0.9826069947
120	0.9800729959
121	0.9778109112
122	0.9755125792
123	0.9731611012
124	0.9710156531
125	0.9686424623
126	0.9665046948
127	0.9636514916
128	0.9614402858
129	0.9588683446
130	0.9564414771
131	0.9541001764
132	0.9519302608
133	0.9496883424
134	0.9475797683
135	0.9454705647
136	0.94291957
137	0.9408822764
138	0.938786106
139	0.9366423743
140	0.9344245261
141	0.9324366993
142	0.9293492401
143	0.9270216459
144	0.9250832334
145	0.9221640252
146	0.9200182927
147	0.9180384433
148	0.9158312462
149	0.9135536287
150	0.9114580927
151	0.9095382442
152	0.9074594237
153	0.9054993626
154	0.903445843
155	0.9012246939
156	0.8994036608
157	0.8975313288
158	0.895680014
159	0.8930997034
160	0.8911310074
161	0.8890796767
162	0.8870618152
163	0.8851240014
164	0.882883888
165	0.8806523468
166	0.8788733152
167	0.8769187899
168	0.8748315509
169	0.8727228282
170	0.8709557595
171	0.8688921571
172	0.8666652137
173	0.864890584
174	0.8631443952
175	0.8614052305
176	0.8596983124
177	0.8579265012
178	0.8561783556
179	0.8542177853
180	0.8525404289
181	0.850662675
182	0.8488394848
183	0.8466987653
184	0.8448712682
185	0.8432502364
186	0.8416020747
187	0.8400264684
188	0.8384145169
189	0.8368030619
190	0.8351880903
191	0.8334506046
192	0.8317714987
193	0.8299410153
194	0.8282764013
195	0.8262768995
196	0.8245434169
197	0.8224578411
198	0.8209185084
199	0.8193996751
200	0.8177586382
201	0.8162206365
202	0.8147525632
203	0.8132396017
204	0.8115739423
205	0.8098669787
206	0.8082958344
207	0.8068372696
208	0.8052933306
209	0.8037531192
210	0.8019921113
211	0.8005499718
212	0.7989471299
213	0.797400757
214	0.7958941617
215	0.7943648457
216	0.792608948
217	0.7911644404
218	0.7895007889
219	0.7880188975
220	0.7865235803
221	0.7850552267
222	0.7834179705
223	0.7819821486
224	0.7804461232
225	0.7790878633
226	0.7777291566
227	0.7762771956
228	0.7749314135
229	0.7735834323
230	0.7719790002
231	0.7705949233
232	0.7690626636
233	0.7677665801
234	0.7660808482
235	0.7647683662
236	0.7632567694
237	0.7616126866
238	0.7603389414
239	0.759029063
240	0.7577407123
241	0.7562419423
242	0.7546276921
243	0.7533437412
244	0.7520543704
245	0.7507483836
246	0.7494610097
247	0.748199749
248	0.7469287741
249	0.7456604425
250	0.7443886511
251	0.7431647834
252	0.7415890496
253	0.7403262238
254	0.738921132
255	0.737603672
256	0.7362238751
257	0.7350168926
258	0.7337989719
259	0.7325032572
260	0.7312970431
261	0.7301219477
262	0.7288145127
263	0.7275639885
264	0.7261116921
265	0.7249376408
266	0.7237407021
267	0.7223116018
268	0.7209574518
269	0.719760186
270	0.7185502079
271	0.7174274761
272	0.7161134145
273	0.7147896507
274	0.7136709194
275	0.7125098591
276	0.7113940241
277	0.7102761161
278	0.7091770764
279	0.7078381884
280	0.7065863072
281	0.7054604672
282	0.7043109594
283	0.7030290765
284	0.7018954467
285	0.7008197095
286	0.6996010359
287	0.6984826651
288	0.6974304927
289	0.6963938516
290	0.6951858398
291	0.6941066451
292	0.692892255
293	0.6916967003
294	0.690674854
295	0.6896418179
296	0.6885197876
297	0.6874406195
298	0.6864138874
299	0.6853014565
300	0.6841425577
301	0.6826904132
302	0.6816369301
303	0.680613559
304	0.6795997196
305	0.6785883289
306	0.6775692923
307	0.6764105539
308	0.6753620387
309	0.6743767371
310	0.6733766914
311	0.6723282761
312	0.6712329439
313	0.6701199207
314	0.6691127539
315	0.667963968
316	0.6669496791
317	0.665968199
318	0.6648203992
319	0.6638438845
320	0.662720825
321	0.6616509166
322	0.6606956619
323	0.6597276481
324	0.6587619549
325	0.6577103808
326	0.6566589701
327	0.6557361052
328	0.6548235719
329	0.6539139475
330	0.6528558877
331	0.6519677331
332	0.6510095355
333	0.6500938659
334	0.6491600809
335	0.6481156577
336	0.6471635801
337	0.6459032582
338	0.6450262684
339	0.6440315015
340	0.6431344961
341	0.6421987057
342	0.6412160128
343	0.6401775725
344	0.6391417228
345	0.6382410718
346	0.6370566311
347	0.636145062
348	0.6351323821
349	0.6342444959
350	0.6333457603
351	0.6324523126
352	0.6315318725
353	0.6306393316
354	0.6297682498
355	0.6289285622
356	0.6280008657
357	0.6271610893
358	0.6263202976
359	0.6254030405
360	0.6245542381
361	0.6237189205
362	0.6228516022
363	0.6220788091
364	0.6212731257
365	0.6203899309
366	0.6194746353
367	0.618504682
368	0.6173953724
369	0.6165498304
370	0.6156939713
371	0.6145956363
372	0.6137456507
373	0.6129397449
374	0.6120955841
375	0.6112775463
376	0.6104578514
377	0.609642189
378	0.6088135887
379	0.6077029242
380	0.6067636863
381	0.6057450631
382	0.6049622396
383	0.6040914581
384	0.6032831388
385	0.6025157028
386	0.6016904561
387	0.6008848932
388	0.6001004476
389	0.5993191848
390	0.5985792172
391	0.5978124134
392	0.5970305858
393	0.5961643054
394	0.5952940765
395	0.5945016534
396	0.5935174056
397	0.5927697425
398	0.5920353102
399	0.5912723395
400	0.5904391815
401	0.5893910897
402	0.5885516539
403	0.5877848289
404	0.58705149
405	0.5862937633
406	0.5855849944
407	0.5848513465
408	0.584084118
409	0.5833809461
410	0.5826442541
411	0.5819497128
412	0.5812674566
413	0.580364271
414	0.5796343988
415	0.578844026
416	0.5780360938
417	0.577291409
418	0.576498294
419	0.5757809706
420	0.575077055
421	0.574333053
422	0.573631721
423	0.5729194052
424	0.5722096429
425	0.5715173477
426	0.5708270969
427	0.5701567034
428	0.5694016889
429	0.5686652757
430	0.5679666953
431	0.5672761697
432	0.5666031482
433	0.5659308558
434	0.5652778459
435	0.5645548777
436	0.5638424499
437	0.5630270913
438	0.5623631585
439	0.5615375211
440	0.5608705508
441	0.5600493814
442	0.5593047987
443	0.5585522514
444	0.5577995293
445	0.5571548131
446	0.5563396472
447	0.5556999546
448	0.5550375736
449	0.5543151536
450	0.5536509753
451	0.5530314762
452	0.552400414
453	0.5516493737
454	0.551046322
455	0.5504068942
456	0.5496492112
457	0.549025524
458	0.5484051028
459	0.547795574
460	0.5470729449
461	0.5464404731
462	0.5458016769
463	0.5451976785
464	0.5445572093
465	0.5439122577
466	0.5433025774
467	0.5426560749
468	0.5418489299
469	0.5411631752
470	0.5405048961
471	0.5399032473
472	0.5390953748
473	0.5384691031
474	0.5378344081
475	0.5372543758
476	0.5366853481
477	0.5360731981
478	0.5354590982
479	0.5347819112
480	0.5340790847
481	0.5334872295
482	0.532899267
483	0.5322125979
484	0.5316377631
485	0.5310106499
486	0.5304783831
487	0.5298833341
488	0.5293089654
489	0.5287317498
490	0.5280543224
491	0.5274768721
492	0.5268650515
493	0.5263045349
494	0.5256714141
495	0.5249805587
496	0.524443527
497	0.5238755971
498	0.5232698739
499	0.5226844954
500	0.5220893711
501	0.5215050924
502	0.5208844025
503	0.5202295784
504	0.5196800578
505	0.5189824444
506	0.5184090961
507	0.517858616
508	0.5173260288
509	0.5167425998
510	0.5162019591
511	0.5156609032
512	0.5150968593
513	0.5145481167
514	0.5139852039
515	0.5133172423
516	0.5127990064
517	0.5121896733
518	0.511580131
519	0.5110399106
520	0.5104822231
521	0.5099239191
522	0.5093176595
523	0.5087167398
524	0.5081575646
525	0.507544627
526	0.50703892
527	0.5065186948
528	0.5060259881
529	0.5054983571
530	0.5049497154
531	0.5044517683
532	0.5039571097
533	0.5034554276
534	0.5029588532
535	0.502345917
536	0.5018306028
537	0.5013253576
538	0.5006559751
539	0.500157685
540	0.4996087257
541	0.4991402525
542	0.4986220544
543	0.498066116
544	0.497589131
545	0.497084026
546	0.4965665583
547	0.4960731507
548	0.4955961638
549	0.4951355908
550	0.4946590524
551	0.4941302719
552	0.4936085547
553	0.4930726153
554	0.4925430984
555	0.4920096693
556	0.4915008906
557	0.4910238467
558	0.4904124613
559	0.489876611
560	0.4894029162
561	0.4889165502
562	0.4884231578
563	0.4879387858
564	0.4874537045
565	0.4869693536
566	0.4864410237
567	0.4859777971
568	0.4854852007
569	0.4849891725
570	0.4844286225
571	0.4838277258
572	0.4833622319
573	0.4828979471
574	0.4824852817
575	0.482052643
576	0.4815772948
577	0.481139101
578	0.4805980165
579	0.4801374033
580	0.4796782195
