iter	Passed	Remaining
0	2085	2083545
1	3749	1870871
2	5413	1799233
3	7158	1782371
4	8885	1768287
5	10593	1754917
6	12188	1729002
7	13919	1726051
8	15729	1732044
9	17327	1715393
10	18946	1703445
11	20533	1690628
12	22132	1680372
13	23716	1670335
14	25400	1667971
15	26970	1658656
16	28569	1651963
17	30152	1644980
18	32105	1657679
19	33890	1660641
20	35585	1658946
21	37233	1655196
22	38874	1651341
23	40597	1650976
24	42260	1648145
25	43956	1646682
26	45614	1643809
27	47305	1642184
28	49011	1641054
29	50680	1638684
30	52286	1634384
31	53986	1633083
32	55616	1629730
33	57279	1627402
34	59109	1629734
35	60868	1629911
36	62630	1630093
37	64327	1628510
38	66033	1627121
39	67814	1627544
40	69827	1633277
41	71698	1635409
42	73535	1636601
43	75355	1637276
44	77124	1636746
45	78947	1637305
46	80637	1635047
47	82293	1632156
48	84108	1632391
49	86273	1639187
50	88056	1638546
51	89652	1634433
52	91353	1632304
53	93107	1631099
54	95004	1632346
55	96943	1634190
56	98712	1633085
57	100462	1631643
58	102136	1628989
59	104270	1633569
60	106495	1639333
61	108402	1640028
62	110131	1637980
63	112158	1640319
64	114107	1641393
65	116344	1646455
66	118760	1653780
67	121562	1666125
68	123980	1672837
69	125999	1673999
70	128065	1675679
71	129927	1674626
72	131812	1673837
73	133981	1676574
74	136224	1680102
75	138307	1681530
76	140564	1684954
77	142412	1683387
78	144266	1681897
79	146411	1683727
80	148304	1682609
81	150135	1680788
82	152225	1681816
83	154255	1682124
84	156030	1679625
85	157740	1676447
86	159774	1676710
87	161566	1674419
88	163250	1671029
89	164925	1667583
90	166661	1664785
91	168485	1662880
92	170288	1660771
93	172105	1658808
94	173875	1656388
95	175673	1654261
96	177406	1651529
97	179322	1650494
98	181018	1647455
99	182907	1646167
100	184651	1643578
101	186463	1641612
102	188145	1638506
103	189875	1635847
104	191595	1633119
105	193548	1632380
106	195546	1631987
107	197224	1628924
108	198902	1625889
109	200776	1624461
110	202600	1622627
111	204366	1620337
112	206156	1618240
113	207829	1615240
114	209486	1612133
115	211317	1610381
116	213255	1609444
117	215198	1608517
118	217003	1606552
119	218756	1604214
120	220852	1604376
121	222722	1602872
122	224575	1601239
123	226663	1601270
124	228807	1601655
125	231272	1604220
126	233243	1603321
127	235453	1604023
128	237368	1602700
129	239365	1601904
130	241336	1600927
131	243414	1600637
132	245608	1601074
133	247653	1600506
134	249653	1599630
135	251651	1598727
136	253530	1597055
137	255187	1593997
138	256896	1591278
139	258539	1588171
140	260224	1585342
141	261885	1582379
142	263623	1579899
143	265581	1578733
144	267714	1578590
145	269642	1577223
146	271730	1576779
147	273544	1574726
148	275663	1574428
149	277636	1573274
150	279314	1570448
151	280938	1567340
152	282655	1564765
153	284262	1561597
154	286010	1559220
155	287672	1556381
156	289308	1553420
157	291017	1550867
158	292808	1548752
159	294443	1545827
160	296100	1543031
161	297766	1540299
162	299824	1539588
163	301654	1537701
164	303595	1536378
165	305779	1536264
166	307480	1533722
167	309212	1531336
168	311110	1529779
169	312965	1528007
170	314839	1526328
171	316795	1525039
172	318971	1524795
173	320648	1522161
174	322265	1519251
175	324045	1517122
176	326027	1515937
177	327710	1513357
178	329740	1512384
179	331760	1511353
180	333435	1508749
181	335066	1505956
182	336663	1503028
183	338280	1500202
184	339921	1497493
185	341509	1494561
186	343213	1492153
187	344837	1489403
188	346629	1487390
189	348196	1484416
190	349793	1481587
191	351470	1479106
192	353091	1476396
193	354751	1473863
194	356371	1471173
195	358059	1468774
196	359741	1466357
197	361395	1463835
198	363062	1461372
199	364748	1458995
200	366438	1456639
201	368060	1454019
202	369753	1451693
203	371453	1449395
204	373068	1446778
205	374717	1444300
206	376364	1441822
207	377990	1439272
208	379574	1436572
209	381186	1433988
210	382888	1431747
211	384661	1429779
212	386302	1427325
213	387905	1424737
214	389551	1422314
215	391231	1420023
216	392874	1417608
217	394543	1415289
218	396237	1413067
219	397882	1410674
220	399492	1408167
221	401157	1405858
222	402780	1403410
223	404369	1400852
224	406004	1398461
225	407601	1395945
226	409221	1393514
227	410861	1391163
228	412500	1388811
229	414072	1386241
230	415694	1383848
231	417467	1381960
232	419249	1380103
233	420852	1377662
234	422539	1375500
235	424155	1373114
236	425844	1370967
237	427534	1368829
238	429187	1366574
239	430857	1364383
240	432586	1362376
241	434525	1361035
242	436394	1359468
243	438428	1358409
244	440450	1357308
245	442445	1356112
246	444333	1354586
247	446263	1353186
248	448287	1352064
249	450145	1350437
250	451935	1348603
251	453970	1347499
252	456047	1346512
253	457956	1345020
254	460035	1344023
255	462028	1342769
256	464077	1341670
257	466256	1340940
258	468519	1340436
259	470448	1338969
260	472199	1336995
261	473832	1334687
262	475641	1332881
263	477913	1332364
264	480060	1331489
265	482233	1330673
266	483893	1328441
267	485535	1326164
268	487096	1323671
269	488728	1321376
270	490407	1319213
271	492126	1317162
272	493828	1315066
273	495536	1312990
274	497177	1310741
275	498800	1308447
276	500902	1307408
277	503068	1306531
278	504778	1304463
279	506661	1302845
280	508320	1300648
281	510724	1300356
282	512647	1298826
283	514415	1296906
284	516151	1294905
285	517829	1292763
286	519501	1290608
287	521166	1288440
288	522874	1286379
289	524536	1284209
290	526213	1282081
291	527870	1279905
292	529588	1277881
293	531355	1275976
294	533030	1273852
295	534653	1271607
296	536422	1269714
297	538109	1267627
298	539682	1265275
299	541422	1263318
300	543089	1261195
301	544834	1259254
302	546555	1257257
303	548166	1255011
304	549781	1252781
305	551466	1250711
306	553056	1248429
307	554729	1246339
308	556416	1244284
309	558058	1242130
310	559682	1239939
311	561366	1237884
312	563003	1235729
313	564724	1233760
314	566367	1231623
315	567998	1229466
316	569670	1227396
317	571293	1225227
318	573009	1223258
319	574667	1221167
320	576374	1219184
321	578004	1217041
322	579756	1215154
323	581399	1213043
324	583182	1211224
325	584863	1209197
326	586530	1207140
327	588274	1205244
328	589906	1203122
329	591642	1201213
330	593328	1199205
331	594977	1197122
332	596604	1194999
333	598329	1193076
334	599978	1191002
335	601594	1188864
336	603218	1186748
337	604894	1184733
338	606543	1182670
339	608267	1180754
340	610009	1178874
341	611710	1176917
342	613345	1174834
343	615008	1172807
344	616694	1170826
345	618441	1168962
346	620145	1167018
347	621758	1164904
348	623447	1162934
349	625056	1160818
350	626734	1158834
351	628392	1156813
352	630049	1154794
353	631655	1152682
354	633284	1150615
355	634913	1148550
356	636584	1146564
357	638296	1144654
358	639958	1142656
359	641562	1140555
360	643219	1138551
361	644939	1136660
362	646662	1134776
363	648300	1132743
364	650010	1130840
365	651746	1128982
366	653367	1126926
367	655117	1125093
368	656815	1123171
369	658450	1121144
370	660117	1119174
371	661851	1117319
372	663487	1115298
373	665166	1113354
374	666841	1111402
375	668579	1109556
376	670232	1107572
377	671920	1105646
378	673595	1103701
379	675250	1101725
380	676898	1099737
381	678558	1097771
382	680199	1095777
383	681865	1093826
384	683546	1091899
385	685182	1089901
386	686804	1087883
387	688385	1085803
388	689997	1083775
389	691582	1081705
390	693206	1079700
391	694959	1077896
392	696579	1075887
393	698264	1073981
394	700035	1072206
395	701640	1070178
396	703332	1068285
397	704919	1066235
398	706522	1064210
399	708191	1062287
400	709840	1060335
401	711589	1058533
402	713496	1056965
403	715860	1056071
404	718057	1054923
405	720111	1053561
406	722225	1052283
407	724029	1050553
408	725919	1048945
409	728075	1047718
410	730054	1046233
411	732238	1045038
412	734092	1043371
413	736299	1042201
414	737996	1040308
415	739891	1038693
416	741614	1036837
417	743764	1035576
418	745775	1034118
419	747764	1032627
420	749649	1030990
421	751656	1029519
422	753709	1028109
423	755829	1026786
424	757758	1025202
425	759576	1023467
426	761519	1021898
427	763434	1020291
428	765347	1018679
429	767032	1016764
430	768704	1014832
431	770456	1013007
432	772218	1011195
433	773956	1009353
434	775786	1007631
435	777514	1005776
436	779281	1003971
437	780987	1002089
438	782735	1000261
439	784457	998400
440	786159	996514
441	787938	994727
442	789621	992819
443	791354	990975
444	792946	988955
445	794678	987112
446	796699	985625
447	798412	983757
448	800074	981828
449	801699	979854
450	803362	977928
451	804990	975961
452	806598	973972
453	808231	972014
454	809862	970054
455	811520	968130
456	813206	966238
457	814820	964263
458	816447	962305
459	818104	960383
460	819771	958475
461	821446	956575
462	823056	954603
463	824690	952660
464	826372	950773
465	828045	948876
466	829678	946934
467	831365	945056
468	833028	943151
469	834710	941269
470	836358	939349
471	838006	937431
472	839636	935493
473	841230	933517
474	842855	931576
475	844494	929654
476	846137	927735
477	847740	925775
478	849424	923903
479	851098	922023
480	852751	920120
481	854438	918255
482	856092	916356
483	857747	914458
484	859292	912444
485	860884	910482
486	862449	908494
487	864035	906528
488	865755	904705
489	867367	902770
490	869112	900973
491	870790	899109
492	872390	897164
493	874039	895271
494	875701	893392
495	877380	891531
496	878985	889596
497	880631	887704
498	882254	885790
499	883925	883925
500	885550	882015
501	887164	880095
502	888752	878151
503	890382	876249
504	891990	874327
505	893642	872449
506	895359	870635
507	897012	868760
508	898747	866964
509	900737	865414
510	902327	863479
511	904023	861647
512	905905	859991
513	907953	858492
514	910306	857278
515	912427	855843
516	914318	854189
517	916449	852757
518	918570	851314
519	920473	849667
520	922812	848421
521	924611	846675
522	926453	844968
523	928171	843148
524	929862	841304
525	931580	839485
526	933352	837715
527	935234	836043
528	937162	834410
529	939250	832920
530	941262	831360
531	943389	829898
532	945516	828435
533	947401	826758
534	949655	825401
535	951646	823813
536	953352	821978
537	955023	820112
538	956713	818265
539	958404	816418
540	960054	814537
541	961726	812676
542	963372	810794
543	965002	808898
544	966627	807001
545	968238	805091
546	969842	803178
547	971576	801373
548	973273	799537
549	974966	797699
550	976616	795827
551	978214	793913
552	979823	792008
553	981580	790225
554	983199	788331
555	984789	786414
556	986395	784512
557	987976	782590
558	989576	780685
559	991208	778806
560	992845	776932
561	994468	775048
562	996069	773148
563	997709	771278
564	999488	769517
565	1001086	767617
566	1002735	765757
567	1004348	763870
568	1005967	761989
569	1007554	760084
570	1009319	758315
571	1011065	756531
572	1012673	754645
573	1014294	752769
574	1015907	750888
575	1017565	749041
576	1019150	747141
577	1020746	745251
578	1022330	743352
579	1024000	741517
580	1025610	739640
581	1027295	737817
582	1028920	735951
583	1030520	734069
584	1032198	732243
